table,project,link,sponsors,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,SafeCar,http://dubhacks17f.devpost.com/submissions/79979-safecar,"Help people live safer, more secure lives leveraging Liberty Mutualâ€™s Shine API, Best Transportation-Related Hack",,,,,,,,,,,,,,,,,,,,,,,,,,,
83,SafeMode,http://dubhacks17f.devpost.com/submissions/79981-safemode,Best use of Microsoft technology,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PlanSimple,http://dubhacks17f.devpost.com/submissions/79983-plansimple,Google API Prize,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,TranspoFare,http://dubhacks17f.devpost.com/submissions/79984-transpofare,"Help people live safer, more secure lives leveraging Liberty Mutualâ€™s Shine API, Best Transportation-Related Hack, Google API Prize",,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Catalyz,http://dubhacks17f.devpost.com/submissions/79986-catalyz,"Best use of storytelling (+ Marvel API), Best .TECH domain, MLH - Best Domain Name from Domain.com, MLH - Amazon Web Services - Best Use of AWS, Best use of Microsoft technology, Google API Prize",,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Peer to Peer,http://dubhacks17f.devpost.com/submissions/79987-peer-to-peer,"Best use of Microsoft technology, Google API Prize",,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PlugIn,http://dubhacks17f.devpost.com/submissions/79990-plugin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,SafeWalk UW,http://dubhacks17f.devpost.com/submissions/79992-safewalk-uw,"Best Transportation-Related Hack, Google API Prize",,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Read Now,http://dubhacks17f.devpost.com/submissions/79995-read-now,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,ToGo,http://dubhacks17f.devpost.com/submissions/80001-togo,"Accolade - Best Healthcare Hack, Best use of Microsoft technology, Google API Prize",,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Serve-It,http://dubhacks17f.devpost.com/submissions/80003-serve-it,Google API Prize,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Active Airline Investigation,http://dubhacks17f.devpost.com/submissions/80016-active-airline-investigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,emot.io,http://dubhacks17f.devpost.com/submissions/80018-emot-io,Best use of Microsoft technology,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Just dub it. ,http://dubhacks17f.devpost.com/submissions/80020-just-dub-it,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,MayContain,http://dubhacks17f.devpost.com/submissions/80026-maycontain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Best Character Sheet,http://dubhacks17f.devpost.com/submissions/80034-best-character-sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,AcrossTheAisle,http://dubhacks17f.devpost.com/submissions/80035-acrosstheaisle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,cAR,http://dubhacks17f.devpost.com/submissions/80037-car,"Help people live safer, more secure lives leveraging Liberty Mutualâ€™s Shine API, Best Transportation-Related Hack",,,,,,,,,,,,,,,,,,,,,,,,,,,
100,nightlight,http://dubhacks17f.devpost.com/submissions/80038-nightlight,"Help people live safer, more secure lives leveraging Liberty Mutualâ€™s Shine API, Google API Prize",,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Table,http://dubhacks17f.devpost.com/submissions/80045-table,Best .TECH domain,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,StudBud,http://dubhacks17f.devpost.com/submissions/80064-studbud,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Crisp,http://dubhacks17f.devpost.com/submissions/80078-crisp,"MLH - Amazon Web Services - Best Use of AWS, Best use of Microsoft technology",,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Waste Division,http://dubhacks17f.devpost.com/submissions/80084-waste-division,Google API Prize,,,,,,,,,,,,,,,,,,,,,,,,,,,
